id,type,difficulty,prompt,answer,unit,explanation
157,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 32 cherry trees, how many apple trees are there?",56,trees,"1 part = cherries ÷ 4, then multiply by 7."
158,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 48 cherry trees, how many apple trees are there?",84,trees,"1 part = cherries ÷ 4, then multiply by 7."
159,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 44 cherry trees, how many apple trees are there?",77,trees,"1 part = cherries ÷ 4, then multiply by 7."
160,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 28 cherry trees, how many apple trees are there?",49,trees,"1 part = cherries ÷ 4, then multiply by 7."
161,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 48 cherry trees, how many apple trees are there?",84,trees,"1 part = cherries ÷ 4, then multiply by 7."
162,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 52 cherry trees, how many apple trees are there?",91,trees,"1 part = cherries ÷ 4, then multiply by 7."
163,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 48 cherry trees, how many apple trees are there?",84,trees,"1 part = cherries ÷ 4, then multiply by 7."
164,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 28 cherry trees, how many apple trees are there?",49,trees,"1 part = cherries ÷ 4, then multiply by 7."
165,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 32 cherry trees, how many apple trees are there?",56,trees,"1 part = cherries ÷ 4, then multiply by 7."
166,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 32 cherry trees, how many apple trees are there?",56,trees,"1 part = cherries ÷ 4, then multiply by 7."
167,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 32 cherry trees, how many apple trees are there?",56,trees,"1 part = cherries ÷ 4, then multiply by 7."
168,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 24 cherry trees, how many apple trees are there?",42,trees,"1 part = cherries ÷ 4, then multiply by 7."
169,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 32 cherry trees, how many apple trees are there?",56,trees,"1 part = cherries ÷ 4, then multiply by 7."
170,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 60 cherry trees, how many apple trees are there?",105,trees,"1 part = cherries ÷ 4, then multiply by 7."
171,money,medium,13 lemons cost 299 pence. What is the cost of 16 lemons?,368,pence,"Find the cost of 1 lemon, then multiply."
172,money,medium,15 lemons cost 300 pence. What is the cost of 20 lemons?,400,pence,"Find the cost of 1 lemon, then multiply."
173,money,medium,11 lemons cost 143 pence. What is the cost of 17 lemons?,221,pence,"Find the cost of 1 lemon, then multiply."
174,money,medium,14 lemons cost 182 pence. What is the cost of 16 lemons?,208,pence,"Find the cost of 1 lemon, then multiply."
175,money,medium,6 lemons cost 138 pence. What is the cost of 8 lemons?,184,pence,"Find the cost of 1 lemon, then multiply."
176,money,medium,14 lemons cost 308 pence. What is the cost of 17 lemons?,374,pence,"Find the cost of 1 lemon, then multiply."
177,money,medium,12 lemons cost 168 pence. What is the cost of 15 lemons?,210,pence,"Find the cost of 1 lemon, then multiply."
178,money,medium,6 lemons cost 90 pence. What is the cost of 9 lemons?,135,pence,"Find the cost of 1 lemon, then multiply."
179,money,medium,10 lemons cost 190 pence. What is the cost of 13 lemons?,247,pence,"Find the cost of 1 lemon, then multiply."
180,money,medium,15 lemons cost 240 pence. What is the cost of 19 lemons?,304,pence,"Find the cost of 1 lemon, then multiply."
181,money,medium,14 lemons cost 238 pence. What is the cost of 17 lemons?,289,pence,"Find the cost of 1 lemon, then multiply."
182,money,medium,6 lemons cost 132 pence. What is the cost of 10 lemons?,220,pence,"Find the cost of 1 lemon, then multiply."
183,money,medium,13 lemons cost 273 pence. What is the cost of 19 lemons?,399,pence,"Find the cost of 1 lemon, then multiply."
184,money,medium,14 lemons cost 238 pence. What is the cost of 20 lemons?,340,pence,"Find the cost of 1 lemon, then multiply."
185,money,medium,8 lemons cost 152 pence. What is the cost of 11 lemons?,209,pence,"Find the cost of 1 lemon, then multiply."
186,money,medium,14 lemons cost 266 pence. What is the cost of 16 lemons?,304,pence,"Find the cost of 1 lemon, then multiply."
187,money,medium,13 lemons cost 299 pence. What is the cost of 16 lemons?,368,pence,"Find the cost of 1 lemon, then multiply."
188,money,medium,15 lemons cost 165 pence. What is the cost of 18 lemons?,198,pence,"Find the cost of 1 lemon, then multiply."
189,money,medium,8 lemons cost 104 pence. What is the cost of 13 lemons?,169,pence,"Find the cost of 1 lemon, then multiply."
190,money,medium,15 lemons cost 330 pence. What is the cost of 17 lemons?,374,pence,"Find the cost of 1 lemon, then multiply."
191,money,medium,14 lemons cost 154 pence. What is the cost of 18 lemons?,198,pence,"Find the cost of 1 lemon, then multiply."
192,money,medium,14 lemons cost 266 pence. What is the cost of 20 lemons?,380,pence,"Find the cost of 1 lemon, then multiply."
193,money,medium,13 lemons cost 299 pence. What is the cost of 15 lemons?,345,pence,"Find the cost of 1 lemon, then multiply."
194,money,medium,14 lemons cost 154 pence. What is the cost of 17 lemons?,187,pence,"Find the cost of 1 lemon, then multiply."
195,money,medium,9 lemons cost 135 pence. What is the cost of 11 lemons?,165,pence,"Find the cost of 1 lemon, then multiply."
196,time,medium,A train leaves at 12:35 and arrives at 12:52. How many minutes is the journey?,17,minutes,Count the total minutes.
197,time,medium,A train leaves at 10:19 and arrives at 11:42. How many minutes is the journey?,83,minutes,Count the total minutes.
198,time,medium,A train leaves at 10:47 and arrives at 10:58. How many minutes is the journey?,11,minutes,Count the total minutes.
199,time,medium,A train leaves at 12:29 and arrives at 12:46. How many minutes is the journey?,17,minutes,Count the total minutes.
200,time,medium,A train leaves at 09:46 and arrives at 10:43. How many minutes is the journey?,57,minutes,Count the total minutes.
201,time,medium,A train leaves at 11:13 and arrives at 11:48. How many minutes is the journey?,35,minutes,Count the total minutes.
202,time,medium,A train leaves at 11:54 and arrives at 12:42. How many minutes is the journey?,48,minutes,Count the total minutes.
203,time,medium,A train leaves at 09:51 and arrives at 11:14. How many minutes is the journey?,83,minutes,Count the total minutes.
204,time,medium,A train leaves at 10:19 and arrives at 10:54. How many minutes is the journey?,35,minutes,Count the total minutes.
205,time,medium,A train leaves at 11:57 and arrives at 12:45. How many minutes is the journey?,48,minutes,Count the total minutes.
206,time,medium,A train leaves at 13:52 and arrives at 14:27. How many minutes is the journey?,35,minutes,Count the total minutes.
207,time,medium,A train leaves at 13:10 and arrives at 14:33. How many minutes is the journey?,83,minutes,Count the total minutes.
208,time,medium,A train leaves at 07:10 and arrives at 08:21. How many minutes is the journey?,71,minutes,Count the total minutes.
209,time,medium,A train leaves at 07:02 and arrives at 08:13. How many minutes is the journey?,71,minutes,Count the total minutes.
210,time,medium,A train leaves at 09:46 and arrives at 10:43. How many minutes is the journey?,57,minutes,Count the total minutes.
211,time,medium,A train leaves at 06:37 and arrives at 07:12. How many minutes is the journey?,35,minutes,Count the total minutes.
212,time,medium,A train leaves at 09:39 and arrives at 09:56. How many minutes is the journey?,17,minutes,Count the total minutes.
213,time,medium,A train leaves at 07:48 and arrives at 08:36. How many minutes is the journey?,48,minutes,Count the total minutes.
214,time,medium,A train leaves at 12:41 and arrives at 12:58. How many minutes is the journey?,17,minutes,Count the total minutes.
215,time,medium,A train leaves at 13:39 and arrives at 14:03. How many minutes is the journey?,24,minutes,Count the total minutes.
216,algebra,medium,3x + 2x + 22 = 162. What is x?,28,,Solve 5x + 22 = total.
217,algebra,medium,3x + 2x + 22 = 152. What is x?,26,,Solve 5x + 22 = total.
218,algebra,medium,3x + 2x + 22 = 157. What is x?,27,,Solve 5x + 22 = total.
219,algebra,medium,3x + 2x + 22 = 107. What is x?,17,,Solve 5x + 22 = total.
220,algebra,medium,3x + 2x + 22 = 72. What is x?,10,,Solve 5x + 22 = total.
221,algebra,medium,3x + 2x + 22 = 92. What is x?,14,,Solve 5x + 22 = total.
222,algebra,medium,3x + 2x + 22 = 72. What is x?,10,,Solve 5x + 22 = total.
223,algebra,medium,3x + 2x + 22 = 122. What is x?,20,,Solve 5x + 22 = total.
224,algebra,medium,3x + 2x + 22 = 87. What is x?,13,,Solve 5x + 22 = total.
225,algebra,medium,3x + 2x + 22 = 167. What is x?,29,,Solve 5x + 22 = total.
226,algebra,medium,3x + 2x + 22 = 67. What is x?,9,,Solve 5x + 22 = total.
227,algebra,medium,3x + 2x + 22 = 112. What is x?,18,,Solve 5x + 22 = total.
228,algebra,medium,3x + 2x + 22 = 127. What is x?,21,,Solve 5x + 22 = total.
229,algebra,medium,3x + 2x + 22 = 77. What is x?,11,,Solve 5x + 22 = total.
230,algebra,medium,3x + 2x + 22 = 157. What is x?,27,,Solve 5x + 22 = total.
231,algebra,medium,3x + 2x + 22 = 87. What is x?,13,,Solve 5x + 22 = total.
232,algebra,medium,3x + 2x + 22 = 77. What is x?,11,,Solve 5x + 22 = total.
233,algebra,medium,3x + 2x + 22 = 162. What is x?,28,,Solve 5x + 22 = total.
234,algebra,medium,3x + 2x + 22 = 117. What is x?,19,,Solve 5x + 22 = total.
235,algebra,medium,3x + 2x + 22 = 132. What is x?,22,,Solve 5x + 22 = total.
236,pie_chart,medium,A pie chart shows caramel as 45% of 180 students. How many students chose caramel?,81,students,Find the percentage of the total.
237,pie_chart,medium,A pie chart shows caramel as 45% of 160 students. How many students chose caramel?,72,students,Find the percentage of the total.
238,pie_chart,medium,A pie chart shows caramel as 40% of 180 students. How many students chose caramel?,72,students,Find the percentage of the total.
239,pie_chart,medium,A pie chart shows caramel as 15% of 300 students. How many students chose caramel?,45,students,Find the percentage of the total.
240,pie_chart,medium,A pie chart shows caramel as 40% of 120 students. How many students chose caramel?,48,students,Find the percentage of the total.
241,pie_chart,medium,A pie chart shows caramel as 40% of 240 students. How many students chose caramel?,96,students,Find the percentage of the total.
242,pie_chart,medium,A pie chart shows caramel as 50% of 200 students. How many students chose caramel?,100,students,Find the percentage of the total.
243,pie_chart,medium,A pie chart shows caramel as 10% of 200 students. How many students chose caramel?,20,students,Find the percentage of the total.
244,pie_chart,medium,A pie chart shows caramel as 40% of 240 students. How many students chose caramel?,96,students,Find the percentage of the total.
245,pie_chart,medium,A pie chart shows caramel as 30% of 240 students. How many students chose caramel?,72,students,Find the percentage of the total.
246,pie_chart,medium,A pie chart shows caramel as 15% of 120 students. How many students chose caramel?,18,students,Find the percentage of the total.
247,pie_chart,medium,A pie chart shows caramel as 25% of 120 students. How many students chose caramel?,30,students,Find the percentage of the total.
248,pie_chart,medium,A pie chart shows caramel as 15% of 180 students. How many students chose caramel?,27,students,Find the percentage of the total.
249,pie_chart,medium,A pie chart shows caramel as 30% of 120 students. How many students chose caramel?,36,students,Find the percentage of the total.
250,pie_chart,medium,A pie chart shows caramel as 20% of 180 students. How many students chose caramel?,36,students,Find the percentage of the total.
251,midpoint,medium,What number is halfway between 18 and 33?,25.5,,Add the numbers and divide by 2.
252,midpoint,medium,What number is halfway between -3 and 79?,38,,Add the numbers and divide by 2.
253,midpoint,medium,What number is halfway between 13 and 77?,45,,Add the numbers and divide by 2.
254,midpoint,medium,What number is halfway between -14 and 50?,18,,Add the numbers and divide by 2.
255,midpoint,medium,What number is halfway between -21 and 59?,19,,Add the numbers and divide by 2.
256,midpoint,medium,What number is halfway between 2 and 61?,31.5,,Add the numbers and divide by 2.
257,midpoint,medium,What number is halfway between 1 and 69?,35,,Add the numbers and divide by 2.
258,midpoint,medium,What number is halfway between -10 and 30?,10,,Add the numbers and divide by 2.
259,midpoint,medium,What number is halfway between -13 and 28?,7.5,,Add the numbers and divide by 2.
260,midpoint,medium,What number is halfway between 14 and 36?,25,,Add the numbers and divide by 2.
261,midpoint,medium,What number is halfway between -3 and 29?,13,,Add the numbers and divide by 2.
262,midpoint,medium,What number is halfway between -13 and 26?,6.5,,Add the numbers and divide by 2.
263,midpoint,medium,What number is halfway between 10 and 30?,20,,Add the numbers and divide by 2.
264,midpoint,medium,What number is halfway between -14 and 30?,8,,Add the numbers and divide by 2.
265,midpoint,medium,What number is halfway between 8 and 79?,43.5,,Add the numbers and divide by 2.
266,digit_rearrangement,medium,Rearrange the digits 42319 to make the smallest odd number possible.,23491,,Put the smallest digits first and an odd digit at the end.
267,digit_rearrangement,medium,Rearrange the digits 16543 to make the smallest odd number possible.,34561,,Put the smallest digits first and an odd digit at the end.
268,digit_rearrangement,medium,Rearrange the digits 31562 to make the smallest odd number possible.,23561,,Put the smallest digits first and an odd digit at the end.
269,digit_rearrangement,medium,Rearrange the digits 23819 to make the smallest odd number possible.,23891,,Put the smallest digits first and an odd digit at the end.
270,digit_rearrangement,medium,Rearrange the digits 45638 to make the smallest odd number possible.,45683,,Put the smallest digits first and an odd digit at the end.
271,digit_rearrangement,medium,Rearrange the digits 45982 to make the smallest odd number possible.,24895,,Put the smallest digits first and an odd digit at the end.
272,digit_rearrangement,medium,Rearrange the digits 56713 to make the smallest odd number possible.,35671,,Put the smallest digits first and an odd digit at the end.
273,digit_rearrangement,medium,Rearrange the digits 19865 to make the smallest odd number possible.,56891,,Put the smallest digits first and an odd digit at the end.
274,digit_rearrangement,medium,Rearrange the digits 94582 to make the smallest odd number possible.,24895,,Put the smallest digits first and an odd digit at the end.
275,digit_rearrangement,medium,Rearrange the digits 82674 to make the smallest odd number possible.,24687,,Put the smallest digits first and an odd digit at the end.
276,digit_rearrangement,medium,Rearrange the digits 87532 to make the smallest odd number possible.,25783,,Put the smallest digits first and an odd digit at the end.
277,digit_rearrangement,medium,Rearrange the digits 46287 to make the smallest odd number possible.,24687,,Put the smallest digits first and an odd digit at the end.
278,digit_rearrangement,medium,Rearrange the digits 76129 to make the smallest odd number possible.,26791,,Put the smallest digits first and an odd digit at the end.
279,digit_rearrangement,medium,Rearrange the digits 25491 to make the smallest odd number possible.,24591,,Put the smallest digits first and an odd digit at the end.
280,digit_rearrangement,medium,Rearrange the digits 27853 to make the smallest odd number possible.,25783,,Put the smallest digits first and an odd digit at the end.
281,powers,high,16.5 × 10^2 − 10^2 = ?,1550,,16.5 × 100 − 100.
282,powers,high,13.5 × 10^2 − 10^2 = ?,1250,,13.5 × 100 − 100.
283,powers,high,18.5 × 10^2 − 10^2 = ?,1750,,18.5 × 100 − 100.
284,powers,high,14.5 × 10^2 − 10^2 = ?,1350,,14.5 × 100 − 100.
285,powers,high,12.5 × 10^2 − 10^2 = ?,1150,,12.5 × 100 − 100.
286,powers,high,15.5 × 10^2 − 10^2 = ?,1450,,15.5 × 100 − 100.
287,powers,high,13.5 × 10^2 − 10^2 = ?,1250,,13.5 × 100 − 100.
288,powers,high,13.5 × 10^2 − 10^2 = ?,1250,,13.5 × 100 − 100.
289,powers,high,14.5 × 10^2 − 10^2 = ?,1350,,14.5 × 100 − 100.
290,powers,high,15.5 × 10^2 − 10^2 = ?,1450,,15.5 × 100 − 100.
291,powers,high,12.5 × 10^2 − 10^2 = ?,1150,,12.5 × 100 − 100.
292,powers,high,14.5 × 10^2 − 10^2 = ?,1350,,14.5 × 100 − 100.
293,powers,high,14.5 × 10^2 − 10^2 = ?,1350,,14.5 × 100 − 100.
294,powers,high,14.5 × 10^2 − 10^2 = ?,1350,,14.5 × 100 − 100.
295,powers,high,16.5 × 10^2 − 10^2 = ?,1550,,16.5 × 100 − 100.
296,powers,high,14.5 × 10^2 − 10^2 = ?,1350,,14.5 × 100 − 100.
297,powers,high,13.5 × 10^2 − 10^2 = ?,1250,,13.5 × 100 − 100.
298,powers,high,12.5 × 10^2 − 10^2 = ?,1150,,12.5 × 100 − 100.
299,powers,high,14.5 × 10^2 − 10^2 = ?,1350,,14.5 × 100 − 100.
300,powers,high,13.5 × 10^2 − 10^2 = ?,1250,,13.5 × 100 − 100.
301,powers,high,14.5 × 10^2 − 10^2 = ?,1350,,14.5 × 100 − 100.
302,powers,high,13.5 × 10^2 − 10^2 = ?,1250,,13.5 × 100 − 100.
303,powers,high,12.5 × 10^2 − 10^2 = ?,1150,,12.5 × 100 − 100.
304,powers,high,14.5 × 10^2 − 10^2 = ?,1350,,14.5 × 100 − 100.
305,powers,high,15.5 × 10^2 − 10^2 = ?,1450,,15.5 × 100 − 100.
306,percentage,high,Four individual cans cost 168 pence in total. A 4-pack costs 151 pence. What percentage of the individual total is the pack price?,90,%,Percentage = pack ÷ individual total × 100.
307,percentage,high,Four individual cans cost 184 pence in total. A 4-pack costs 147 pence. What percentage of the individual total is the pack price?,80,%,Percentage = pack ÷ individual total × 100.
308,percentage,high,Four individual cans cost 176 pence in total. A 4-pack costs 132 pence. What percentage of the individual total is the pack price?,75,%,Percentage = pack ÷ individual total × 100.
309,percentage,high,Four individual cans cost 168 pence in total. A 4-pack costs 142 pence. What percentage of the individual total is the pack price?,85,%,Percentage = pack ÷ individual total × 100.
