id,difficulty,answer,clue,prompt,start_letters,explanation
28,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
29,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
30,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
31,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
32,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
33,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
34,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
35,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
36,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
37,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
38,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
39,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
40,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
41,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
42,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
43,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
44,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
45,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
46,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
47,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
48,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
49,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
50,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
51,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
52,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
53,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
54,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
55,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
56,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
57,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
58,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
59,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
60,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
61,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
62,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
63,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
64,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
65,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
66,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
67,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
68,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
69,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
70,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
71,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
72,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
73,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
74,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
75,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
76,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
77,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
78,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
79,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
80,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
81,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
82,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
83,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
84,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
85,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
86,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
87,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
88,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
89,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
90,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
91,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
92,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
93,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
94,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
95,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
96,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
97,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
98,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
99,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
100,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
101,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
102,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
103,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
104,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
105,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
106,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
107,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
108,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
109,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
110,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
111,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
112,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
113,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
114,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
115,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
116,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
117,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
118,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
119,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
120,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
121,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
122,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
123,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
124,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
125,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
126,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
127,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
128,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
129,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
130,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
131,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
132,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
133,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
134,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
135,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
136,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
137,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
138,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
139,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
140,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
141,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
142,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
143,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
144,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
145,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
146,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
147,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
148,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
149,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
150,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
151,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
152,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
153,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
154,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
155,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
156,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
157,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
158,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
159,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
160,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
161,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
162,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
163,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
164,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
165,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
166,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
167,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
168,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
169,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
170,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
171,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
172,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
173,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
174,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
175,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
176,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
177,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
178,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
179,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
180,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
181,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
182,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
183,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
184,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
185,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
186,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
187,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
188,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
189,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
190,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
191,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
192,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
193,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
194,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
195,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
196,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
197,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
198,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
199,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
200,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
201,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
202,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
203,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
204,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
205,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
206,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
207,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
208,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
209,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
210,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
211,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
212,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
213,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
214,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
215,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
216,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
217,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
218,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
219,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
220,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
221,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
222,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
223,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
224,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
225,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
226,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
227,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
228,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
229,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
230,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
231,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
232,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
233,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
234,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
235,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
236,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
237,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
238,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
239,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
240,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
241,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
242,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
243,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
244,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
245,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
246,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
247,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
248,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
249,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
250,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
251,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
252,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
253,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
254,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
255,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
256,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
257,medium,FAMOUS,well known,RENOWNED,6,FAMOUS from RENOWNED. Both mean well known.
258,medium,GATHER,to bring together,COLLECT,6,GATHER from COLLECT. Both mean assemble.
259,medium,HONEST,truthful and genuine,SINCERE,6,HONEST from SINCERE. Both mean truthful.
260,medium,IGNORE,to pay no attention to,NEGLECT,6,IGNORE from NEGLECT. Both mean disregard.
261,medium,ABUNDANT,in large quantity,PLENTIFUL,8,ABUNDANT from PLENTIFUL. Both mean plentiful.
262,medium,ANCIENT,very old or outdated,ARCHAIC,7,ANCIENT from ARCHAIC. Both mean old.
263,medium,BRIEF,short and clear,CONCISE,5,BRIEF from CONCISE. Both mean short.
264,medium,CALM,peaceful and untroubled,SERENE,4,CALM from SERENE. Both mean peaceful.
265,medium,DAMAGE,to weaken or harm,IMPAIR,6,DAMAGE from IMPAIR. Both mean harm.
266,medium,EAGER,very willing,KEEN,5,EAGER from KEEN. Both mean enthusiastic.
