id,difficulty,answer,clue,source_word,answer_length,explanation
31,easy,SIGN,a mark or symbol,SIGNIFICANT,4,SIGN from SIGNIFICANT. A sign is a symbol.
32,easy,IRON,a strong metal,COUNTRYSIDE,4,IRON from COUNTRYSIDE. Iron is strong metal.
33,easy,TREE,a large plant,TEMPERATURE,4,TREE from TEMPERATURE. A tree is a plant.
34,easy,DENT,a hollow in a surface,DEMONSTRATE,4,DENT from DEMONSTRATE. A dent is a hollow.
35,easy,LACE,decorative fabric,CELEBRATION,4,LACE from CELEBRATION. Lace is decorative.
36,easy,NOTE,to observe,COMMUNICATE,4,NOTE from COMMUNICATE. To note is to see.
37,easy,KIND,friendly and caring,KINDERGARTEN,4,KIND from KINDERGARTEN. Kind means friendly.
38,easy,DOE,a female deer,SKATEBOARD,3,DOE from SKATEBOARD. A doe is a female deer.
39,easy,TRAIL,a path through woods,TRADITIONAL,5,TRAIL from TRADITIONAL. A trail is a path.
40,easy,CREAM,a dairy product,MARKETPLACE,5,CREAM from MARKETPLACE. Cream is dairy.
41,easy,MINT,a herb,COMBINATION,4,MINT from COMBINATION. Mint is a herb.
42,easy,FORT,a fortified building,INFORMATION,4,FORT from INFORMATION. A fort is strong.
43,easy,COAT,an outer garment,COMFORTABLE,4,COAT from COMFORTABLE. A coat is outerwear.
44,easy,ROUND,circular shape,UNDERGROUND,5,ROUND from UNDERGROUND. Round is circular.
45,easy,ACRE,a unit of land,CONCENTRATE,4,ACRE from CONCENTRATE. An acre is land area.
46,easy,DEN,a small room,DEMONSTRATE,3,DEN from DEMONSTRATE. A den is a cosy room.
47,easy,TALE,a short story,CELEBRATION,4,TALE from CELEBRATION. A tale is a story.
48,easy,LOFT,an upper room,COMFORTABLE,4,LOFT from COMFORTABLE. A loft is upstairs.
49,easy,OATS,a cereal grain,PERSONALITY,4,OATS from PERSONALITY. Oats are grain.
50,easy,CONE,a pointed shape,CONCENTRATE,4,CONE from CONCENTRATE. A cone is pointed.
51,easy,LION,a large wild cat,PERSONALITY,4,LION from PERSONALITY. A lion is a big cat.
52,easy,CALF,a young cow,COMFORTABLE,4,CALF from COMFORTABLE. A calf is a baby cow.
53,easy,NOSE,a facial feature,PERSONALITY,4,NOSE from PERSONALITY. The nose is on the face.
54,easy,TEAM,a group of players,DEMONSTRATE,4,TEAM from DEMONSTRATE. A team works together.
55,easy,STORE,a shop,DEMONSTRATE,5,STORE from DEMONSTRATE. A store sells goods.
56,easy,TOUR,a journey around places,DESTRUCTION,4,TOUR from DESTRUCTION. A tour visits places.
57,easy,LIST,a written record of items,PERSONALITY,4,LIST from PERSONALITY. A list is a record.
58,easy,SHOE,footwear,ATMOSPHERE,4,SHOE from ATMOSPHERE. A shoe is footwear.
59,easy,HEAT,warmth,ATMOSPHERE,4,HEAT from ATMOSPHERE. Heat is warmth.
60,easy,MIST,light fog,MASTERPIECE,4,MIST from MASTERPIECE. Mist is thin fog.
61,easy,PARTY,a festive gathering,PHOTOGRAPHY,5,PARTY from PHOTOGRAPHY. A party celebrates.
62,easy,DIAL,a round clock face,TRADITIONAL,4,DIAL from TRADITIONAL. A dial shows time.
63,easy,FORM,to shape or mould,INFORMATION,4,FORM from INFORMATION. To form is to shape.
64,easy,SORT,to arrange in order,DESTRUCTION,4,SORT from DESTRUCTION. To sort is to arrange.
65,easy,NINE,a number,ENVIRONMENT,4,NINE from ENVIRONMENT. Nine is a number.
66,easy,ANT,a small insect,PERSONALITY,3,ANT from PERSONALITY. An ant is tiny.
67,easy,REST,to be inactive,PERSONALITY,4,REST from PERSONALITY. To rest is to relax.
68,easy,TROT,a slow run,CONCENTRATE,4,TROT from CONCENTRATE. A trot is a slow jog.
69,easy,CAP,a type of hat,CATASTROPHE,3,CAP from CATASTROPHE. A cap covers the head.
70,easy,NOTE,a musical tone,THUNDERSTORM,4,NOTE from THUNDERSTORM. A note is a sound.
71,easy,RAT,a rodent,SKATEBOARD,3,RAT from SKATEBOARD. A rat is a rodent.
72,easy,COLD,low temperature,COMPLICATED,4,COLD from COMPLICATED. Cold is low heat.
73,easy,VINE,a climbing plant,INVESTIGATE,4,VINE from INVESTIGATE. A vine climbs walls.
74,easy,GATE,a barrier that opens,INVESTIGATE,4,GATE from INVESTIGATE. A gate opens and closes.
75,easy,PORT,a harbour for ships,PERSONALITY,4,PORT from PERSONALITY. A port is a harbour.
76,easy,GRAND,impressive and large,GRANDFATHER,5,GRAND from GRANDFATHER. Grand is impressive.
77,easy,MOTHER,a female parent,THERMOMETER,6,MOTHER from THERMOMETER. A mother is a parent.
78,easy,GUN,a firearm,UNDERGROUND,3,GUN from UNDERGROUND. A gun fires projectiles.
79,easy,STRAY,to wander from the path,STRAWBERRY,5,STRAY from STRAWBERRY. To stray is to wander.
80,easy,TEAR,to rip apart,STRAWBERRY,4,TEAR from STRAWBERRY. To tear is to rip.
81,easy,OIL,a liquid fuel,TRADITIONAL,3,OIL from TRADITIONAL. Oil is a liquid.
82,easy,SEAT,a place to sit,DEMONSTRATE,4,SEAT from DEMONSTRATE. A seat is for sitting.
83,easy,COIN,a piece of money,COUNTRYSIDE,4,COIN from COUNTRYSIDE. A coin is money.
84,easy,MAD,angry,DEMONSTRATE,3,MAD from DEMONSTRATE. Mad means angry.
85,easy,RAIL,a thin horizontal bar,PERSONALITY,4,RAIL from PERSONALITY. A rail is a bar.
86,easy,READ,to study text,KINDERGARTEN,4,READ from KINDERGARTEN. To read is to study.
87,easy,BET,to make a wager,COMFORTABLE,3,BET from COMFORTABLE. To bet is to wager.
88,easy,ROAM,to wander freely,DEMONSTRATE,4,ROAM from DEMONSTRATE. To roam is to wander.
89,easy,TOAD,an amphibian,DEMONSTRATE,4,TOAD from DEMONSTRATE. A toad hops.
90,easy,BOLT,a metal fastening rod,COMFORTABLE,4,BOLT from COMFORTABLE. A bolt is a fastener.
91,easy,CAST,to throw a line,CATASTROPHE,4,CAST from CATASTROPHE. To cast is to throw.
92,easy,HEAT,warmth from the sun,CATASTROPHE,4,HEAT from CATASTROPHE. Heat is warmth.
93,easy,TIN,a type of metal,PERSONALITY,3,TIN from PERSONALITY. Tin is a metal.
94,easy,DEMO,a public display,DEMONSTRATE,4,DEMO from DEMONSTRATE. A demo is a display.
95,easy,SET,to place in position,DEMONSTRATE,3,SET from DEMONSTRATE. To set means to place.
96,easy,NOTE,a short written message,DEMONSTRATE,4,NOTE from DEMONSTRATE. A note is a message.
97,easy,DART,a pointed missile,DEMONSTRATE,4,DART from DEMONSTRATE. A dart is thrown.
98,easy,CLOT,a lump in blood,COMFORTABLE,4,CLOT from COMFORTABLE. A clot is a lump.
99,easy,MALT,a cereal grain product,COMFORTABLE,4,MALT from COMFORTABLE. Malt is from grain.
100,easy,REED,a tall water grass,DEMONSTRATE,4,REED from DEMONSTRATE. A reed grows by water.
101,easy,PINE,an evergreen tree,PERSONALITY,4,PINE from PERSONALITY. A pine is an evergreen.
102,easy,DOTE,to love excessively,DEMONSTRATE,4,DOTE from DEMONSTRATE. To dote is to adore.
103,easy,COB,a central part of corn,COMFORTABLE,3,COB from COMFORTABLE. A cob holds corn.
104,easy,MARE,a female horse,DEMONSTRATE,4,MARE from DEMONSTRATE. A mare is a female horse.
105,easy,TRAM,a streetcar,COMFORTABLE,4,TRAM from COMFORTABLE. A tram runs on rails.
106,easy,NODS,head movements for yes,DEMONSTRATE,4,NODS from DEMONSTRATE. Nods mean agreement.
107,easy,RODE,travelled on horseback,DEMONSTRATE,4,RODE from DEMONSTRATE. Rode means travelled.
108,easy,CART,a vehicle for goods,CATASTROPHE,4,CART from CATASTROPHE. A cart carries goods.
109,easy,TAB,a small label,COMFORTABLE,3,TAB from COMFORTABLE. A tab is a small label.
110,easy,PEAL,a loud ring of bells,PERSONALITY,4,PEAL from PERSONALITY. A peal is bell sound.
111,easy,CUT,to slice,DESTRUCTION,3,CUT from DESTRUCTION. To cut is to slice.
112,easy,NUT,a hard-shelled fruit,DESTRUCTION,3,NUT from DESTRUCTION. A nut is hard-shelled.
113,easy,POT,a container for cooking,EXPLORATION,3,POT from EXPLORATION. A pot is for cooking.
114,easy,OAR,a rowing device,EXPLORATION,3,OAR from EXPLORATION. An oar rows boats.
115,easy,TALE,a story,EXPLORATION,4,TALE from EXPLORATION. A tale is a story.
116,easy,TOE,a part of the foot,CATASTROPHE,3,TOE from CATASTROPHE. A toe is on the foot.
117,easy,ANT,a small insect,DEMONSTRATE,3,ANT from DEMONSTRATE. An ant is tiny.
118,easy,FORM,a shape or outline,COMFORTABLE,4,FORM from COMFORTABLE. A form is a shape.
119,easy,MAD,angry or upset,DEMONSTRATE,3,MAD from DEMONSTRATE. Mad means angry.
120,easy,LOFT,an upper storage area,COMFORTABLE,4,LOFT from COMFORTABLE. A loft stores things.
121,medium,STERN,serious and strict,TREMENDOUS,5,STERN from TREMENDOUS. Stern means strict.
122,medium,POLITE,socially correct,HELICOPTER,6,POLITE from HELICOPTER. Polite means well-mannered.
123,medium,AMBLE,walk slowly,COMMENDABLE,5,AMBLE from COMMENDABLE. To amble is to stroll.
124,medium,TAINT,spoil or contaminate,ANTICIPATE,5,TAINT from ANTICIPATE. To taint is to spoil.
125,medium,RETAIN,keep hold of,GENERATION,6,RETAIN from GENERATION. To retain is to keep.
126,medium,WRATH,deep anger,WITHDRAWN,5,WRATH from WITHDRAWN. Wrath is deep anger.
127,medium,TIARA,ornamental crown,DRAMATIC,5,TIARA from DRAMATIC. A tiara is a crown.
128,medium,LOFTY,tall and imposing,FORMALITY,5,LOFTY from FORMALITY. Lofty means tall.
129,medium,FABLE,a story with a moral,BEAUTIFUL,5,FABLE from BEAUTIFUL. A fable is a moral story.
130,medium,PEACE,tranquility,PERFORMANCE,5,PEACE from PERFORMANCE. Peace is calm.
131,medium,LINEN,a type of fabric,INTELLIGENCE,5,LINEN from INTELLIGENCE. Linen is cloth.
132,medium,STONE,a rock,DEMONSTRATE,5,STONE from DEMONSTRATE. A stone is a rock.
133,medium,GRAPH,a visual diagram,PHOTOGRAPHY,5,GRAPH from PHOTOGRAPHY. A graph shows data.
134,medium,TRIAL,a court hearing,PERSONALITY,5,TRIAL from PERSONALITY. A trial is a hearing.
135,medium,ROAST,to cook in an oven,PERSONALITY,5,ROAST from PERSONALITY. To roast is to cook.
136,medium,TRICK,to deceive,ELECTRICITY,5,TRICK from ELECTRICITY. A trick is deception.
137,medium,CREATE,to make or produce,CELEBRATION,6,CREATE from CELEBRATION. To create is to make.
138,medium,COMBAT,to fight,COMFORTABLE,6,COMBAT from COMFORTABLE. Combat is fighting.
139,medium,TEMPT,to lure or attract,TEMPERATURE,5,TEMPT from TEMPERATURE. To tempt is to lure.
140,medium,GRAIN,a small particle,GRANDFATHER,5,GRAIN from GRANDFATHER. A grain is tiny.
141,medium,TINGE,a slight colour,KINDERGARTEN,5,TINGE from KINDERGARTEN. A tinge is slight.
142,medium,EXPORT,to send goods abroad,EXPLORATION,6,EXPORT from EXPLORATION. To export is to send.
143,medium,TERN,a seabird,DESTRUCTION,4,TERN from DESTRUCTION. A tern is a bird.
144,medium,RELATE,to connect stories,CELEBRATION,6,RELATE from CELEBRATION. To relate is to connect.
145,medium,MEND,to repair,DEMONSTRATE,4,MEND from DEMONSTRATE. To mend is to fix.
146,medium,MENTOR,a guide or teacher,ENVIRONMENT,6,MENTOR from ENVIRONMENT. A mentor guides.
147,medium,GREAT,impressive,GENERATION,5,GREAT from GENERATION. Great is impressive.
148,medium,RIND,the outer layer of fruit,UNDERGROUND,4,RIND from UNDERGROUND. A rind is the skin.
149,medium,STAND,a row of seats,DEMONSTRATE,5,STAND from DEMONSTRATE. A stand has seats.
150,medium,GARDEN,a cultivated area,KINDERGARTEN,6,GARDEN from KINDERGARTEN. A garden is cultivated.
151,medium,PEACH,a sweet fruit,CATASTROPHE,5,PEACH from CATASTROPHE. A peach is sweet.
152,medium,MOTE,a tiny particle,DEMONSTRATE,4,MOTE from DEMONSTRATE. A mote is a speck.
153,medium,OPTIC,related to eyesight,COMPLICATED,5,OPTIC from COMPLICATED. Optic means eye-related.
154,medium,STING,a sharp sudden pain,DISTINGUISH,5,STING from DISTINGUISH. A sting hurts.
155,medium,CHOP,to cut with force,CATASTROPHE,4,CHOP from CATASTROPHE. To chop is to cut.
156,medium,SCOUT,a person who watches,COUNTRYSIDE,5,SCOUT from COUNTRYSIDE. A scout watches.
157,medium,VOTE,to choose by ballot,ENVIRONMENT,4,VOTE from ENVIRONMENT. To vote is to choose.
158,medium,INVENT,to create something new,ENVIRONMENT,6,INVENT from ENVIRONMENT. To invent is to create.
159,medium,TRADE,to exchange goods,KINDERGARTEN,5,TRADE from KINDERGARTEN. To trade is to swap.
160,medium,BLOAT,to swell up,COMFORTABLE,5,BLOAT from COMFORTABLE. To bloat is to swell.
161,medium,TRASH,rubbish or waste,CATASTROPHE,5,TRASH from CATASTROPHE. Trash is rubbish.
162,medium,STEAD,a place or position,DEMONSTRATE,5,STEAD from DEMONSTRATE. A stead is a place.
163,medium,FLORA,plant life in a region,COMFORTABLE,5,FLORA from COMFORTABLE. Flora is plant life.
164,medium,PATCH,a piece of ground,CATASTROPHE,5,PATCH from CATASTROPHE. A patch is ground.
165,medium,FLOAT,to rest on water,COMFORTABLE,5,FLOAT from COMFORTABLE. To float drifts on water.
166,medium,OPAL,a precious gemstone,COMPLICATED,4,OPAL from COMPLICATED. An opal is a gem.
167,medium,MORAL,a lesson from a story,COMFORTABLE,5,MORAL from COMFORTABLE. A moral is a lesson.
168,medium,IRATE,furious,GENERATION,5,IRATE from GENERATION. Irate means furious.
169,medium,AMEND,to correct or improve,DEMONSTRATE,5,AMEND from DEMONSTRATE. To amend is to fix.
170,medium,METRE,a unit of length,DEMONSTRATE,5,METRE from DEMONSTRATE. A metre measures length.
171,medium,STORM,severe weather,DEMONSTRATE,5,STORM from DEMONSTRATE. A storm is severe.
172,medium,GROAN,a sound of pain,UNDERGROUND,5,GROAN from UNDERGROUND. A groan shows pain.
173,medium,SCRAPE,to scratch a surface,CATASTROPHE,6,SCRAPE from CATASTROPHE. To scrape is to scratch.
174,medium,MOAT,a water barrier,DEMONSTRATE,4,MOAT from DEMONSTRATE. A moat protects castles.
175,medium,URGE,to encourage strongly,UNDERGROUND,4,URGE from UNDERGROUND. To urge is to push.
176,medium,ONSET,the beginning,DEMONSTRATE,5,ONSET from DEMONSTRATE. Onset is the start.
177,medium,RISEN,gone upward,PERSONALITY,5,RISEN from PERSONALITY. Risen means went up.
178,medium,CROFT,a small Scottish farm,COMFORTABLE,5,CROFT from COMFORTABLE. A croft is a farm.
179,medium,TENOR,a male singing voice,CONCENTRATE,5,TENOR from CONCENTRATE. A tenor sings high.
180,medium,ALTER,to change or modify,COMFORTABLE,5,ALTER from COMFORTABLE. To alter is to change.
181,medium,SLANT,an angle or slope,PERSONALITY,5,SLANT from PERSONALITY. A slant is an angle.
182,medium,TART,sour to taste,DEMONSTRATE,4,TART from DEMONSTRATE. Tart means sour.
183,medium,STERN,the rear of a ship,DEMONSTRATE,5,STERN from DEMONSTRATE. The stern is the back.
184,medium,SHORE,land beside the sea,CATASTROPHE,5,SHORE from CATASTROPHE. A shore is coastline.
185,medium,IRATE,very angry,KINDERGARTEN,5,IRATE from KINDERGARTEN. Irate is very angry.
186,medium,TRADE,to exchange goods,DEMONSTRATE,5,TRADE from DEMONSTRATE. Trade is exchange.
187,medium,ROYAL,relating to royalty,PERSONALITY,5,ROYAL from PERSONALITY. Royal means kingly.
188,medium,HEART,a vital organ,CATASTROPHE,5,HEART from CATASTROPHE. The heart pumps blood.
189,medium,TREND,a general direction,DEMONSTRATE,5,TREND from DEMONSTRATE. A trend is a direction.
190,medium,IRONS,metal restraints,PERSONALITY,5,IRONS from PERSONALITY. Irons bind prisoners.
191,medium,TEASE,to make fun of someone,DEMONSTRATE,5,TEASE from DEMONSTRATE. To tease is to mock.
192,medium,HARP,a stringed instrument,CATASTROPHE,4,HARP from CATASTROPHE. A harp has strings.
193,medium,TERN,a type of bird,DEMONSTRATE,4,TERN from DEMONSTRATE. A tern is a seabird.
194,medium,COAST,the edge of the sea,CATASTROPHE,5,COAST from CATASTROPHE. A coast is the edge.
195,medium,TORSO,the upper body,COUNTRYSIDE,5,TORSO from COUNTRYSIDE. The torso is the body.
196,medium,CRATE,a wooden storage box,CATASTROPHE,5,CRATE from CATASTROPHE. A crate stores things.
197,medium,STRIP,a thin piece of material,PERSONALITY,5,STRIP from PERSONALITY. A strip is thin.
198,medium,FLOOR,a surface to walk on,COMFORTABLE,5,FLOOR from COMFORTABLE. A floor is a surface.
199,medium,CHEST,a body part,CATASTROPHE,5,CHEST from CATASTROPHE. The chest is the torso.
200,medium,SHUNT,to push aside,THUNDERSTORM,5,SHUNT from THUNDERSTORM. To shunt is to push.
201,medium,EDICT,an official decree,COMPLICATED,5,EDICT from COMPLICATED. An edict is a decree.
202,medium,STEAD,a place or position,DEMONSTRATE,5,STEAD from DEMONSTRATE. Stead is a position.
203,medium,STORE,a place to buy things,CATASTROPHE,5,STORE from CATASTROPHE. A store sells items.
204,medium,STONY,hard and unyielding,PERSONALITY,5,STONY from PERSONALITY. Stony means hard.
205,medium,MEND,to repair something,DEMONSTRATE,4,MEND from DEMONSTRATE. To mend is to fix.
206,medium,METER,a unit of measurement,DEMONSTRATE,5,METER from DEMONSTRATE. A meter measures.
207,medium,MOREL,edible fungus,COMFORTABLE,5,MOREL from COMFORTABLE. A morel is a mushroom.
208,medium,ANT,an insect,DEMONSTRATE,3,ANT from DEMONSTRATE. An ant is small.
209,medium,HARP,a musical instrument,CATASTROPHE,4,HARP from CATASTROPHE. A harp is played.
210,medium,MALT,a grain product,COMFORTABLE,4,MALT from COMFORTABLE. Malt is from grain.
211,hard,AGILE,nimble and quick,EGOTISTICAL,5,AGILE from EGOTISTICAL. Agile means nimble.
212,hard,LOBBY,to seek to influence,PROBABLY,5,LOBBY from PROBABLY. To lobby is to influence.
213,hard,MITTEN,a type of glove,MENTALITY,6,MITTEN from MENTALITY. A mitten is a glove.
214,hard,MIGRATE,move to another country,NIGHTMARE,7,MIGRATE from NIGHTMARE. To migrate is to move.
215,hard,LISTEN,to hear carefully,PERSONALITY,6,LISTEN from PERSONALITY. To listen is to hear.
216,hard,PLANET,orbits a star,EXPLORATION,6,PLANET from EXPLORATION. A planet orbits a star.
217,hard,LOCATE,to find a place,CELEBRATION,6,LOCATE from CELEBRATION. To locate is to find.
218,hard,DIRECT,to guide or lead,DESTRUCTION,6,DIRECT from DESTRUCTION. To direct is to lead.
219,hard,DEPICT,to illustrate,COMPLICATED,6,DEPICT from COMPLICATED. To depict is to show.
220,hard,CONCERN,to feel worry,CONCENTRATE,7,CONCERN from CONCENTRATE. Concern means worry.
221,hard,PASTRY,a baked good,PERSONALITY,6,PASTRY from PERSONALITY. A pastry is baked.
222,hard,CIDER,an apple drink,DESTRUCTION,5,CIDER from DESTRUCTION. Cider is apple drink.
223,hard,TALON,a sharp bird claw,EXPLORATION,5,TALON from EXPLORATION. A talon is a claw.
224,hard,TREAD,to step heavily,DEMONSTRATE,5,TREAD from DEMONSTRATE. To tread is to step.
225,hard,APEX,the highest point,APPROXIMATE,4,APEX from APPROXIMATE. An apex is the peak.
226,hard,MONSTER,a frightening creature,DEMONSTRATE,7,MONSTER from DEMONSTRATE. A monster is scary.
227,hard,SEARCH,to hunt for something,CATASTROPHE,6,SEARCH from CATASTROPHE. To search is to hunt.
228,hard,RODENT,a gnawing mammal,DEMONSTRATE,6,RODENT from DEMONSTRATE. A rodent gnaws.
229,hard,PATRON,a financial supporter,EXPLORATION,6,PATRON from EXPLORATION. A patron supports.
230,hard,REALM,a kingdom or domain,COMFORTABLE,5,REALM from COMFORTABLE. A realm is a kingdom.
231,hard,SAINTLY,pure and holy,PERSONALITY,7,SAINTLY from PERSONALITY. Saintly means holy.
232,hard,POSTAL,relating to mail,PERSONALITY,6,POSTAL from PERSONALITY. Postal means mail.
233,hard,REMOTE,far away,DEMONSTRATE,6,REMOTE from DEMONSTRATE. Remote means distant.
234,hard,RENAME,to give a new name,DEMONSTRATE,6,RENAME from DEMONSTRATE. Rename means re-name.
235,hard,DESERT,to leave behind,DEMONSTRATE,6,DESERT from DEMONSTRATE. To desert is to leave.
236,hard,STREET,a paved road,DEMONSTRATE,6,STREET from DEMONSTRATE. A street is a road.
237,hard,ERODE,to gradually wear away,DEMONSTRATE,5,ERODE from DEMONSTRATE. To erode wears away.
238,hard,SNARE,a type of catching device,DEMONSTRATE,5,SNARE from DEMONSTRATE. A snare catches.
239,hard,MODERN,up to date,DEMONSTRATE,6,MODERN from DEMONSTRATE. Modern is current.
240,hard,OTTER,a furry water mammal,DEMONSTRATE,5,OTTER from DEMONSTRATE. An otter swims.
241,hard,LOAFER,an idle person,COMFORTABLE,6,LOAFER from COMFORTABLE. A loafer is idle.
242,hard,INLAY,a decorative pattern,PERSONALITY,5,INLAY from PERSONALITY. An inlay decorates.
243,hard,TAILOR,someone who makes clothes,PERSONALITY,6,TAILOR from PERSONALITY. A tailor sews.
244,hard,PARTLY,not completely,PERSONALITY,6,PARTLY from PERSONALITY. Partly is not fully.
245,hard,PERIL,danger or risk,PERSONALITY,5,PERIL from PERSONALITY. Peril means danger.
246,hard,INLET,a narrow waterway,PERSONALITY,5,INLET from PERSONALITY. An inlet is narrow.
247,hard,LYRE,a stringed instrument,PERSONALITY,4,LYRE from PERSONALITY. A lyre has strings.
248,hard,TOASTER,a kitchen appliance,PERSONALITY,7,TOASTER from PERSONALITY. A toaster browns bread.
249,hard,LITANY,a repetitive recital,PERSONALITY,6,LITANY from PERSONALITY. A litany repeats.
250,hard,SPEAR,a weapon for throwing,PERSONALITY,5,SPEAR from PERSONALITY. A spear is thrown.
251,hard,ALIEN,from another world,PERSONALITY,5,ALIEN from PERSONALITY. An alien is foreign.
252,hard,OPINE,to state an opinion,PERSONALITY,5,OPINE from PERSONALITY. To opine is to state.
253,hard,RENTAL,payment for use,PERSONALITY,6,RENTAL from PERSONALITY. A rental is payment.
254,hard,MORTAL,doomed to die,COMFORTABLE,6,MORTAL from COMFORTABLE. Mortal means will die.
255,hard,STEAMED,cooked with vapour,DEMONSTRATE,7,STEAMED from DEMONSTRATE. Steamed uses steam.
256,hard,MASTER,a skilled expert,DEMONSTRATE,6,MASTER from DEMONSTRATE. A master is expert.
257,hard,NESTED,settled snugly inside,DEMONSTRATE,6,NESTED from DEMONSTRATE. Nested fits inside.
258,hard,RECAST,to make again,CATASTROPHE,6,RECAST from CATASTROPHE. Recast means redo.
259,hard,HORNET,a stinging insect,THUNDERSTORM,6,HORNET from THUNDERSTORM. A hornet stings.
260,hard,PILOT,one who flies planes,EXPLORATION,5,PILOT from EXPLORATION. A pilot flies.
261,hard,MONSTER,a frightening beast,DEMONSTRATE,7,MONSTER from DEMONSTRATE. A monster is a beast.
262,hard,MODERN,currently fashionable,DEMONSTRATE,6,MODERN from DEMONSTRATE. Modern is trendy.
263,hard,SEARCH,to look hard for,CATASTROPHE,6,SEARCH from CATASTROPHE. To search is to look.
264,hard,DESERT,to abandon or leave,DEMONSTRATE,6,DESERT from DEMONSTRATE. To desert is to leave.
265,hard,RENAME,to name again,DEMONSTRATE,6,RENAME from DEMONSTRATE. Rename means re-name.
266,hard,STREET,a road in a town,DEMONSTRATE,6,STREET from DEMONSTRATE. A street is a road.
267,hard,ERODE,to wear away slowly,DEMONSTRATE,5,ERODE from DEMONSTRATE. Erode means wear away.
268,hard,RODENT,a mouse-like animal,DEMONSTRATE,6,RODENT from DEMONSTRATE. A rodent is like a mouse.
269,hard,OTTER,a swimming mammal,DEMONSTRATE,5,OTTER from DEMONSTRATE. An otter is a swimmer.
270,hard,NESTED,placed inside another,DEMONSTRATE,6,NESTED from DEMONSTRATE. Nested means inside.
271,hard,TREAD,to walk on,DEMONSTRATE,5,TREAD from DEMONSTRATE. To tread is to walk.
272,hard,SNARE,a trap for catching,DEMONSTRATE,5,SNARE from DEMONSTRATE. A snare catches prey.
273,hard,REMOTE,not close,DEMONSTRATE,6,REMOTE from DEMONSTRATE. Remote means not close.
274,hard,REALM,a kingdom,COMFORTABLE,5,REALM from COMFORTABLE. A realm is a domain.
275,hard,SAINTLY,very holy,PERSONALITY,7,SAINTLY from PERSONALITY. Saintly is very pure.
276,hard,PASTRY,baked flour goods,PERSONALITY,6,PASTRY from PERSONALITY. Pastry is baked.
277,hard,PARTLY,partially,PERSONALITY,6,PARTLY from PERSONALITY. Partly means some.
278,hard,POSTAL,about the mail service,PERSONALITY,6,POSTAL from PERSONALITY. Postal is about mail.
279,hard,TAILOR,a garment maker,PERSONALITY,6,TAILOR from PERSONALITY. A tailor sews.
280,hard,INLAY,embedded decoration,PERSONALITY,5,INLAY from PERSONALITY. An inlay is embedded.
